id_book,name
5833,"

عبدالحسین زرین کوب
"
5834,"

عبدالحسین زرین کوب
"
396,"

آندره ژید
"
396,"

آندره ژید
"
5841,"

فرهاد حسن زاده
"
202,"

ساموئل بکت
"
202,"

ساموئل بکت
"
202,"

ساموئل بکت
"
5850,"

مرتضی آوینی
"
6121,"

آرش سنجابی
"
6146,"

کاترین پاندر
"
6148,"

کاترین پاندر
"
6148,"

کاترین پاندر
"
5860,"

مرتضی آوینی
"
6077,"

پل مکنا
"
5924,"

جواد مجابی
"
6009,"

غلامحسین ساعدی
"
1476,"

جان اسکالزی
"
6198,"

حسن قاضی مرادی
"
5863,"

مرتضی آوینی
"
1350,"

آنا گاوالدا
"
1370,"

فرانتس کافکا
"
1370,"

فرانتس کافکا
"
5900,"

گیوم موسو
"
1502,"

سیمین دانشور
"
1502,"

سیمین دانشور
"
1496,"

سیمون دوبووار
"
1496,"

سیمون دوبووار
"
1355,"

آلن دوباتن
"
1355,"

آلن دوباتن
"
1355,"

آلن دوباتن
"
1355,"

آلن دوباتن
"
1355,"

آلن دوباتن
"
1355,"

آلن دوباتن
"
5878,"

گیوم موسو
"
1519,"

پائولو کوئیلو
"
1519,"

پائولو کوئیلو
"
1519,"

پائولو کوئیلو
"
1519,"

پائولو کوئیلو
"
6112,"

برتراند راسل
"
6112,"

برتراند راسل
"
1508,"

جولین بارنز
"
1508,"

جولین بارنز
"
1508,"

جولین بارنز
"
1487,"

سیمون دوبووار
"
1349,"

لویی فردینان سلین
"
1349,"

لویی فردینان سلین
"
1510,"

ویکتوریا اویارد
"
1425,"

لارس اسوندسن
"
1363,"

جین وبستر
"
1363,"

جین وبستر
"
1363,"

جین وبستر
"
1363,"

جین وبستر
"
1363,"

جین وبستر
"
1363,"

جین وبستر
"
1363,"

جین وبستر
"
1363,"

جین وبستر
"
1363,"

جین وبستر
"
1363,"

جین وبستر
"
1363,"

جین وبستر
"
1363,"

جین وبستر
"
1363,"

جین وبستر
"
1363,"

جین وبستر
"
1363,"

جین وبستر
"
1363,"

جین وبستر
"
19421,"

بهرام بیضایی
"
1619,"

ملانی کانکلین
"
1539,"

سیمین دانشور
"
19531,"

حمید امجد
"
1541,"

دیوید میچل
"
1568,"

آنتون چخوف
"
1568,"

آنتون چخوف
"
1568,"

آنتون چخوف
"
1622,"

هشام مطر
"
1622,"

هشام مطر
"
19684,"

امیلی گیفین
"
19684,"

امیلی گیفین
"
19796,"

احمد محمود
"
19857,"

محمد علی جمال زاده
"
19857,"

محمد علی جمال زاده
"
19658,"

نورا افرون
"
19658,"

نورا افرون
"
19734,"

بی جی نواک
"
1569,"

آنتون چخوف
"
1569,"

آنتون چخوف
"
1621,"

دانیال معین الدین
"
19819,"

محمد علی جمال زاده
"
19819,"

محمد علی جمال زاده
"
19774,"
م مودب پور
"
19449,"

متیو سالیوان
"
19773,"
م مودب پور
"
19560,"

ماکوتو شینکای
"
19560,"

ماکوتو شینکای
"
19560,"

ماکوتو شینکای
"
19560,"

ماکوتو شینکای
"
19444,"
حسن افشاری
"
19905,"

سوندرا فرالی
"
19878,"

جان هسکت
"
19710,"

کلی آرمسترانگ
"
19752,"

آدل فابر
"
19676,"

برایان گرین
"
18488,"
گروه فرهنگی شهید ابراهیم هادی
"
18466,"

گئورگ لوکاچ
"
19926,"

محمدرضا سرشار
"
18553,"

فردریک دار
"
18554,"

فردریک دار
"
18657,"

مجید حسینی (1358)
"
18638,"
مرسده کسروی
"
18693,"

تی اس الیوت
"
18569,"

پرویز دوائی
"
20020,"
بس الن دانلدسن
"
18515,"

ایرج افشار
"
18621,"

فاطمه مسعودی
"
18650,"

آزاد ماتیان
"
18568,"

پرویز دوائی
"
18674,"

هوشنگ چالنگی
"
18692,"
میشل ماری
"
18661,"

جی تی راجرز
"
18661,"

جی تی راجرز
"
18585,"

کامیار عابدی
"
18701,"

هانری میشو
"
18678,"

مجموعه ی نویسندگان
"
18678,"
مایکل کربی
"
490,"

دوریس لسینگ
"
18696,"

کنستانتین کاوافی
"
18700,"
ویلیام سی پامرلو
"
473,"

تامس هاردی
"
473,"

تامس هاردی
"
515,"

دینو بوتزاتی 
"
538,"

جنیفر نیون
"
505,"

ترومن کاپوتی
"
505,"

ترومن کاپوتی
"
505,"

ترومن کاپوتی
"
505,"

ترومن کاپوتی
"
505,"

ترومن کاپوتی
"
505,"

ترومن کاپوتی
"
681,"

یوجین اونیل
"
544,"

جوجو مویز
"
544,"

جوجو مویز
"
544,"

جوجو مویز
"
729,"

مارتین مک دونا
"
729,"

مارتین مک دونا
"
742,"

مارتین مک دونا
"
742,"

مارتین مک دونا
"
620,"

مارسل پروست
"
734,"

ماریو وارگاس یوسا
"
720,"

دیوید میچل
"
720,"

دیوید میچل
"
847,"

لزلو باک
"
17942,"

پل ریکور
"
17842,"

ابراهیم گلستان
"
17859,"

حاتم قادری
"
17821,"

جان کریرو
"
17821,"

جان کریرو
"
17821,"

جان کریرو
"
17996,"

محمد فاضلی
"
17720,"

نادر ابراهیمی
"
17720,"

نادر ابراهیمی
"
17720,"

نادر ابراهیمی
"
17753,"

فرانک تیلیه
"
758,"

ژان ماری گوستاو لوکلزیو
"
588,"

پاتریک راتفوس
"
588,"

پاتریک راتفوس
"
752,"

داگلاس آدامز
"
17768,"

ژان تولی
"
17768,"

ژان تولی
"
17971,"

محمود درویش
"
17723,"

نادر ابراهیمی
"
18057,"

تینا سیلیگ
"
17998,"

لیلی گراهام
"
17998,"

لیلی گراهام
"
17962,"
ارژنگ طالبی نژاد
"
812,"

دانته آلیگری
"
812,"

دانته آلیگری
"
812,"

دانته آلیگری
"
812,"

دانته آلیگری
"
812,"

دانته آلیگری
"
812,"

دانته آلیگری
"
718,"

تیموتی اسنایدر
"
718,"

تیموتی اسنایدر
"
718,"

تیموتی اسنایدر
"
736,"

تنسی ویلیامز
"
736,"

تنسی ویلیامز
"
736,"

تنسی ویلیامز
"
736,"

تنسی ویلیامز
"
736,"

تنسی ویلیامز
"
736,"

تنسی ویلیامز
"
18138,"

شاهرخ مسکوب
"
18069,"

سعید فرهودی
"
18064,"

استفنی گاربر
"
823,"

جین آستین
"
823,"

جین آستین
"
823,"

جین آستین
"
823,"

جین آستین
"
823,"

جین آستین
"
823,"

جین آستین
"
823,"

جین آستین
"
823,"

جین آستین
"
823,"

جین آستین
"
823,"

جین آستین
"
823,"

جین آستین
"
823,"

جین آستین
"
823,"

جین آستین
"
823,"

جین آستین
"
823,"

جین آستین
"
823,"

جین آستین
"
823,"

جین آستین
"
823,"

جین آستین
"
823,"

جین آستین
"
823,"

جین آستین
"
4462,"

کریستین بوبن
"
4462,"

کریستین بوبن
"
4462,"

کریستین بوبن
"
18127,"

دیوید ریف
"
4494,"

فروغ فرخ زاد
"
18158,"

محبوبه میرقدیری
"
4498,"

پل استراترن
"
4460,"

کریستین بوبن
"
4460,"

کریستین بوبن
"
18140,"

آلبر کامو
"
4514,"

فروغ فرخ زاد
"
18163,"
مایکل لینچ
"
4622,"

مریم عزیزی
"
4556,"

علی شریعتی
"
4584,"

آنتونیو تابوکی
"
4707,"

مهدی اخوان ثالث
"
4748,"

رضا کاظمی
"
4439,"

وین دایر
"
19190,"

خوزه فرناندو آریناس
"
4727,"

مهدی اخوان ثالث
"
4752,"

علی شریعتی
"
4752,"

علی شریعتی
"
19177,"

پاتریشیا های اسمیت
"
4754,"

مهدی اخوان ثالث
"
4447,"

وین دایر
"
4447,"

وین دایر
"
4447,"

وین دایر
"
4447,"

وین دایر
"
4447,"

وین دایر
"
19230,"

جی ال ویتریک
"
19169,"

احمد قابل
"
4527,"

پل استراترن
"
4745,"

علی شریعتی
"
19265,"

سیامک گلشیری
"
4609,"

رومن رولان
"
4609,"

رومن رولان
"
4609,"

رومن رولان
"
4662,"

وین دایر
"
4668,"

وین دایر
"
4668,"

وین دایر
"
19267,"
پیتر چایلدز
"
19322,"

حمید عنایت
"
19289,"

ریوکان تای گو
"
19390,"

بابک احمدی
"
19389,"

مایکل فرین
"
19308,"

یاسمن خلیلی فرد
"
19309,"

یاسمن خلیلی فرد
"
20199,"

برنه براون
"
20199,"

برنه براون
"
20199,"

برنه براون
"
20068,"
دیوید کاکس
"
20130,"

برایان مایکل استولر
"
19388,"

مایکل فرین
"
19350,"
لیوئورا هورنبلو
"
20126,"

جیمز اید
"
19366,"

سوز اورمن
"
19366,"

سوز اورمن
"
20022,"

ارنست ویلهلم هاینه
"
19400,"

بابک احمدی
"
19307,"

عتیق رحیمی
"
19357,"

آذردخت بهرامی
"
19312,"
کریس هوروکس
"
20214,"

دارون عجم اوغلو
"
20214,"

جیمز رابینسون
"
20175,"

مارتین کوهن
"
20112,"
سوسانا والد
"
20085,"

الیزابت کونکه
"
19323,"

السدیر مک اینتایر
"
20113,"
مری جین استرلینگ
"
20063,"
پائولینا کریستنسن
"
20063,"
پائولینا کریستنسن
"
20084,"
لورا کی. لاولس
"
20279,"
چیوری میاگاوا
"
20268,"

رونالد ریبمن
"
20309,"

فیونا والپی
"
20251,"

دانکن مک لین
"
2543,"

پل جنینگز
"
20335,"
پائولا آماتو
"
2505,"

تد آرنولد
"
2505,"

تد آرنولد
"
20217,"

آنتون چخوف
"
2589,"

امیل زولا
"
2589,"

امیل زولا
"
2576,"

پیلار لوثانو کاربایو
"
2650,"

امید کوره چی
"
2517,"

تد آرنولد
"
2517,"

تد آرنولد
"
2631,"

لمونی اسنیکت
"
2631,"

لمونی اسنیکت
"
2512,"

تد آرنولد
"
2512,"

تد آرنولد
"
2512,"

تد آرنولد
"
2511,"

تد آرنولد
"
2511,"

تد آرنولد
"
2511,"

تد آرنولد
"
2506,"

تد آرنولد
"
2506,"

تد آرنولد
"
2506,"

تد آرنولد
"
2508,"

تد آرنولد
"
2508,"

تد آرنولد
"
2508,"

تد آرنولد
"
2509,"

تد آرنولد
"
2509,"

تد آرنولد
"
2504,"

تد آرنولد
"
2504,"

تد آرنولد
"
2504,"

تد آرنولد
"
2507,"

تد آرنولد
"
2507,"

تد آرنولد
"
2507,"

تد آرنولد
"
20218,"
فرانسیس وانوا
"
2523,"

تد آرنولد
"
2523,"

تد آرنولد
"
2536,"

لئو تولستوی
"
20311,"

گلن کوک
"
20311,"

گلن کوک
"
20311,"

گلن کوک
"
20311,"

گلن کوک
"
20311,"

گلن کوک
"
20311,"

گلن کوک
"
20311,"

گلن کوک
"
20311,"

گلن کوک
"
20311,"

گلن کوک
"
2515,"

تد آرنولد
"
2515,"

تد آرنولد
"
2686,"

آگاتا کریستی
"
2686,"

آگاتا کریستی
"
2665,"

آگاتا کریستی
"
2665,"

آگاتا کریستی
"
15621,"

سعید بیابانکی
"
15528,"

ولفگانگ کوپن
"
15700,"

مارینا آبراموویچ
"
15607,"

جلال الدین محمد بلخی(مولانا)
"
14808,"

هوشنگ مرادی کرمانی
"
15838,"

والتر اسکات
"
15720,"

جیمز تربر
"
15681,"

لئونید تسیپکین
"
2694,"

آگاتا کریستی
"
14848,"
عبدالحسین صنعتی زاده
"
15813,"

سایمون کریچلی
"
15857,"

نظامی گنجوی
"
15857,"

نظامی گنجوی
"
15857,"

نظامی گنجوی
"
15857,"

نظامی گنجوی
"
15857,"

نظامی گنجوی
"
15857,"

نظامی گنجوی
"
15738,"

خورخه آمادو
"
16051,"

ملودی بیتی
"
16051,"

ملودی بیتی
"
15769,"

سوزان لی اندرسون
"
15769,"

سوزان لی اندرسون
"
15702,"

ریونوسوکه آکوتاگاوا
"
15561,"

احمدرضا احمدی
"
15626,"

مژگان شیخی
"
15619,"

محمد شریفی
"
14840,"

مورین مورداک
"
16019,"
پیتر سولینگ
"
15860,"

نظامی گنجوی
"
15860,"

نظامی گنجوی
"
15860,"

نظامی گنجوی
"
15860,"

نظامی گنجوی
"
15776,"

ریشارد کاپوشچینسکی
"
15705,"

گراهام گرین
"
14907,"

برندون سندرسون
"
14936,"
جیمز میلز
"
3578,"

ویلیام فاکنر
"
15155,"

دیوید هربرت لارنس
"
3595,"

نجیب محفوظ
"
14912,"

اینیاتسیو سیلونه
"
14918,"

بیونگ چول هان
"
14982,"

آنا کوئیندلن
"
14959,"

نهال تجدد
"
15192,"

بوریس پاسترناک
"
3877,"

تنسی ویلیامز
"
14948,"

الکساندر سولژنیتسن
"
3536,"

رومن گاری
"
3536,"

رومن گاری
"
3536,"

رومن گاری
"
3721,"

ژرژ سیمنون
"
14917,"

برتولت برشت
"
15199,"
علی اصغر خندان
"
3995,"

مارک فیشر
"
3670,"

مارگریت دوراس
"
15184,"

جان بایر ناس
"
3592,"

ویلیام گلسر
"
3592,"

ویلیام گلسر
"
3592,"

ویلیام گلسر
"
15234,"

ماهرخ غلامحسین پور
"
14878,"

سیلویا پلات
"
